,one,two,three,four,key
0,0.7900432013117048,0.6198668766358553,0.7580777633858872,0.5155390982709354,66
1,0.784543064144466,0.89059289210696,0.6309033450712012,0.7275591243485433,67
2,0.9424572566590034,0.2286006861720956,0.9406393174628427,0.4129769228625233,68
3,0.5320413273707553,0.9991572776638783,0.30442683527942205,0.5457413096001558,70
4,0.04369890243866281,0.923973803903428,0.4552334115404756,0.6302079369530332,75
5,0.860788727276296,0.12647846055421585,0.5890209997730196,0.9183786412335143,89
6,0.5211800110967405,0.6809558507931405,0.5666482680421017,0.7259071767389054,85
7,0.3305250594114404,0.19030134887757366,0.7990216744412098,0.48006858915542694,68
8,0.8469700586775937,0.13139186392727265,0.61581314288424,0.01887233101955499,77
9,0.32942791612052447,0.8448652193918009,0.9627962777735514,0.6271561887490924,82
10,0.15501487280317894,0.9058922095688423,0.4209454016235731,0.40475394249598007,68
11,0.8851916503029773,0.5166799007668353,0.2792625049994555,0.279152786532766,66
12,0.1747231031122949,0.6662142772124723,0.024568832076310776,0.8813250783945742,67
13,0.6514570435790157,0.4523124506156414,0.2878375496635823,0.9509713312735699,65
14,0.437353417158983,0.26096890218158075,0.3271995215554938,0.49961838373572875,89
15,0.9128183675895896,0.7689471328432652,0.7243282212496691,0.8798242947976068,88
16,0.16648724486414224,0.5095472432706005,0.29558893790132224,0.5908779700350937,76
17,0.4652833621035197,0.7510463626435673,0.45085949316291407,0.9914925050174157,79
18,0.408043593258943,0.610949264056654,0.9702748771573733,0.814599235220957,66
19,0.7908890807267369,0.7622202210993062,0.4659598925355891,0.43228726936794937,73
20,0.9146419653098358,0.8443532256776756,0.8768513416347647,0.361753146238165,68
21,0.47513249894707443,0.13376651721207022,0.0029426635435272352,0.23628636385656854,70
22,0.0022274069137114827,0.6887425479947822,0.18898287137676983,0.14390668079780733,74
23,0.609755872152191,0.8072638528372978,0.9443533460287177,0.6666311404123795,76
24,0.23174943405710458,0.027631866401138794,0.4166703839273962,0.9999378735818667,86
25,0.7225004617326847,0.03456252682269745,0.3348065951852732,0.7866878839922338,77
26,0.6321193696501576,0.8280819707822017,0.19589011149732272,0.0180799386078232,72
27,0.2111713304726095,0.8333090324893004,0.5147012799468628,0.7657633314054708,83
28,0.18499591443935104,0.5889100080379486,0.22216081844469404,0.7187231953739106,73
29,0.1152608265328845,0.5977425837157756,0.2917074263636552,0.1817788869818664,66
30,0.5392121233778829,0.551607857770999,0.9210247108652194,0.7950410947827815,69
